Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.4860427560227
FDW14,OUT017,1591.7612740786326
NCN55,OUT010,1822.672658617004
FDQ58,OUT017,2546.3629591573936
FDY38,OUT027,5087.605400109227
FDH56,OUT046,1942.6371302122488
FDL48,OUT018,680.8000272442415
FDC48,OUT027,2806.042744135889
FDN33,OUT045,1541.2477558067712
FDA36,OUT017,3051.675735541094
FDT44,OUT017,2004.9816551032445
FDQ56,OUT045,1358.1533406290978
NCC54,OUT019,1819.7081624356479
FDU11,OUT049,2076.75019335065
DRL59,OUT013,963.7365800429786
FDM24,OUT049,2541.5716064996263
FDI57,OUT045,3047.5751030919687
DRC12,OUT018,2726.5903317931256
NCM42,OUT027,3196.3220820943393
FDA46,OUT010,1129.0865932092913
FDA31,OUT013,2782.85310162846
NCJ31,OUT035,3802.6708588839983
FDG52,OUT046,863.6967323629372
NCL19,OUT019,383.674973972296
FDS10,OUT035,2986.404070313178
FDX22,OUT010,1453.2700642602726
NCF19,OUT035,998.5313152811385
NCE06,OUT046,2519.8296088661195
DRC27,OUT046,3768.666066789685
FDE21,OUT035,2044.9750562281502
NCR42,OUT019,-1251.134114547142
FDX51,OUT018,2840.707683652795
NCR06,OUT018,510.7134768810497
FDU31,OUT027,4872.6616182120215
FDU59,OUT017,2684.937811854624
FDR03,OUT027,4667.855182836753
FDS49,OUT027,2769.5521447021097
FDD48,OUT010,-11.742853337761971
NCF18,OUT017,3083.5092213649095
NCD43,OUT027,3104.414085400251
NCD54,OUT018,2007.8274969877748
FDY19,OUT010,23.56811324654518
NCY54,OUT017,2783.2415589678094
NCL19,OUT018,2023.5214175263472
FDP23,OUT010,1509.3653428274188
FDC26,OUT013,1848.5794920752423
FDR14,OUT010,-931.0749455928542
NCS41,OUT035,2986.619667600746
FDF41,OUT035,3971.3364664503197
FDU34,OUT046,2004.568317313598
DRH11,OUT046,984.1695289641877
FDM03,OUT013,1734.3034064058775
FDS31,OUT017,2964.893326909249
FDJ20,OUT017,2116.7529678965648
FDV44,OUT027,4427.784808962078
FDG02,OUT049,3080.3282714018796
FDA09,OUT013,2877.990100455803
FDT04,OUT013,743.8136889644128
FDL58,OUT019,2224.430519922794
FDE52,OUT045,1472.2979119940542
FDW12,OUT035,2500.3276177547987
FDL51,OUT017,3499.1716317514483
NCY42,OUT027,3669.3541994593006
FDR07,OUT017,1704.3865411049333
FDN40,OUT045,2341.925789890122
FDB35,OUT027,2975.9387231789165
FDA22,OUT017,2708.401927647027
NCL06,OUT046,4020.093188584381
FDI35,OUT013,2889.3869050858057
NCW42,OUT045,3358.9867537069445
NCX06,OUT049,2926.3408466167143
FDC37,OUT027,3208.3154817412396
FDZ14,OUT018,1759.362855368341
DRG49,OUT049,3880.472044509629
NCG06,OUT045,3875.837440520004
DRC36,OUT045,2697.4303484146412
FDV21,OUT019,89.20329367236548
FDB53,OUT046,2335.28360036281
DRP47,OUT019,1969.3600466199523
FDA14,OUT013,2346.3123118934695
DRC24,OUT035,2559.436840774867
FDW21,OUT018,1431.141525256184
NCH29,OUT046,1574.1901419858746
FDU58,OUT013,3038.849954510203
FDY27,OUT017,2888.586673528192
FDV56,OUT035,1978.635375325096
FDT59,OUT046,3588.2190445169244
FDB23,OUT046,3557.5198981563963
FDR49,OUT045,760.3217983798733
FDB03,OUT010,1879.1002918477893
FDN39,OUT045,2601.008116477853
FDX02,OUT027,4893.539499114106
FDQ16,OUT027,3196.57648028102
FDU35,OUT018,1349.3325726460903
NCT29,OUT013,1985.4074128544557
FDZ27,OUT046,871.1855531616695
FDN57,OUT017,2352.025935043546
FDA03,OUT018,2095.9434563670657
FDZ36,OUT045,2892.9101455455652
NCU05,OUT013,1378.5344023376717
FDT39,OUT018,2199.463258352246
FDK60,OUT017,1722.7099429732361
FDZ25,OUT017,2809.598732763239
FDG12,OUT046,1996.2641667968078
DRB01,OUT019,1083.3357803119588
NCC43,OUT027,5257.561572088322
FDX13,OUT019,1979.8573545982817
FDM22,OUT049,1099.9470861104871
FDJ03,OUT027,2354.4228412884295
FDU14,OUT018,3604.68000054786
FDB33,OUT010,672.5769401362725
FDP27,OUT046,2975.1934067615757
FDO38,OUT010,-582.7923496414346
FDE28,OUT027,5039.5635892100145
FDO27,OUT035,1728.2847298513589
DRL23,OUT027,3168.950989414748
FDS28,OUT046,1027.068348708507
FDX24,OUT013,1576.821883985006
FDZ02,OUT035,1784.0734724042354
FDL46,OUT045,1839.2554744810386
